"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"426","Lance Thomas","SF","25","NOP","5","0","8.4","0.4","1.8",".222","0.0","0.0",".000","0.4","1.8",".222",".222","0.4","0.8",".500","0.4","1.0","1.4","0.6","0.0","0.0","0.4","0.8","1.2","0","0.5",".279",".000",".444","5.4","14.0","9.7","9.7","0.0","0.0","15.7","13.8","-0.1","0.0","-0.1","-0.117","-8.0","-2.7","-10.7","-0.1","0","1","1","0","0"
"427","Malcolm Thomas","PF","25","TOT","8","0","7.9","0.9","2.0",".438","0.1","0.5",".250","0.8","1.5",".500",".469","0.0","0.3",".000","0.6","2.0","2.6","0.3","0.0","0.4","1.1","0.6","1.9","0","4.6",".444",".250",".125","9.0","28.9","19.0","5.1","0.0","3.5","34.8","18.7","-0.2","0.1","-0.2","-0.132","-10.4","-1.6","-12.0","-0.2","0","0","1","1","0"
"428","Hollis Thompson","SF","22","PHI","77","41","22.6","2.2","4.8",".460","0.9","2.2",".401","1.4","2.7",".507",".550","0.7","0.9",".712","0.9","2.3","3.2","0.9","0.7","0.2","0.8","1.9","6.0","1","9.5",".570",".449",".196","4.4","11.2","7.7","6.1","1.5","0.5","12.9","11.3","1.4","0.6","2.0",".055","-1.8","-1.2","-3.0","-0.4","0","1","1","0","0"
"429","Jason Thompson","PF","27","SAC","82","61","24.5","3.1","6.0",".506","0.0","0.0",".000","3.1","6.0",".506",".506","1.0","1.8",".579","1.9","4.6","6.4","0.6","0.4","0.7","1.2","3.1","7.1","0","11.1",".523",".000",".292","8.5","21.3","14.8","4.1","0.8","2.3","14.5","14.4","0.9","1.7","2.7",".064","-3.0","0.5","-2.5","-0.3","0","0","0","1","1"
"430","Klay Thompson","SG","23","GSW","81","81","35.4","6.9","15.5",".444","2.8","6.6",".417","4.1","8.9",".464",".533","1.8","2.3",".795","0.5","2.6","3.1","2.2","0.9","0.5","1.7","2.9","18.4","0","14.3",".555",".425",".147","1.5","7.9","4.7","10.2","1.3","1.0","9.2","22.6","3.5","3.2","6.7",".112","1.3","-0.6","0.7","1.9","0","1","1","0","0"
"431","Tristan Thompson","PF","22","CLE","82","82","31.6","4.4","9.3",".477","0.0","0.0",".000","4.4","9.3",".478",".477","2.9","4.1",".693","3.3","5.9","9.2","0.9","0.5","0.4","1.3","2.3","11.7","0","14.9",".528",".001",".445","11.4","21.5","16.3","4.5","0.8","1.1","10.6","17.5","3.4","2.3","5.7",".106","-1.5","-0.5","-2.0","0.0","0","0","0","1","1"
"432","Marcus Thornton","SG","26","TOT","72","27","24.2","3.5","8.9",".394","1.5","4.4",".345","2.0","4.5",".443",".480","1.3","1.6",".804","0.8","2.0","2.8","1.1","0.8","0.2","0.9","1.5","9.8","1","12.0",".511",".495",".175","3.7","9.4","6.6","7.3","1.7","0.5","8.9","19.7","1.0","1.0","2.0",".055","0.1","-1.7","-1.6","0.2","0","1","1","0","0"
"433","Jamaal Tinsley","PG","35","UTA","8","5","13.8","0.5","2.5",".200","0.1","1.9",".067","0.4","0.6",".600",".225","0.0","0.0",".000","0.3","1.1","1.4","2.9","0.3","0.0","1.1","1.3","1.1","0","1.9",".225",".750",".000","2.0","9.7","5.8","29.5","1.0","0.0","31.0","12.1","-0.3","0.0","-0.3","-0.122","-6.6","-3.1","-9.7","-0.2","1","0","0","0","0"
"434","Anthony Tolliver","PF","28","CHA","64","9","20.3","2.0","4.8",".420","1.6","3.9",".413","0.4","0.9",".450",".586","0.5","0.6",".805","0.5","2.1","2.6","0.7","0.3","0.2","0.4","1.3","6.1","0","11.0",".605",".805",".134","2.9","11.8","7.3","5.0","0.8","0.9","6.6","12.4","1.9","1.3","3.2",".117","0.8","-0.5","0.3","0.8","0","0","1","1","0"
"435","P.J. Tucker","SF","28","PHO","81","81","30.7","3.3","7.6",".431","0.9","2.4",".387","2.4","5.2",".450",".491","1.9","2.5",".776","2.0","4.5","6.5","1.7","1.4","0.3","1.3","2.5","9.4","1","13.3",".540",".311",".327","7.3","16.6","11.9","8.1","2.2","0.7","12.7","14.2","3.3","2.8","6.1",".117","0.7","1.6","2.3","2.7","0","1","1","0","0"
