"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FGP","TH","THA","THP","TW","TWA","TWP","eFGP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","FOU","PTS","FA","PER","TSP","TPAr","FTr","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USGP","OWS","DWS","WS","WSPFE","OBPM","DBPM","BPM","VORP","PG","SG","SF","PF","C"
"427","Anderson Varejao","C","33","TOT","41","0","9.8","1.1","2.5",".433","0.0","0.0",".000","1.1","2.5",".437",".433","0.5","0.8",".656","0.8","2.1","2.9","0.7","0.3","0.1","0.5","1.3","2.7","1","11.1",".470",".010",".308","9.1","23.6","16.4","9.9","1.8","1.0","14.5","15.3","0.1","0.6","0.8",".096","-3.7","1.5","-2.2","0.0","0","0","0","1","1"
"428","Greivis Vasquez","PG","29","MIL","16","0","22.6","2.4","7.0",".348","0.9","3.4",".259","1.6","3.6",".431",".411","1.4","1.6",".880","0.3","2.1","2.3","4.4","0.4","0.0","1.9","2.1","7.1","1","9.0",".463",".482",".223","1.3","10.3","5.8","28.8","1.0","0.0","19.6","19.0","-0.1","0.1","0.0","-0.003","-2.1","-3.9","-6.0","-0.4","1","1","0","0","0"
"429","Rashad Vaughn","SG","19","MIL","59","0","11.8","0.9","2.9",".299","0.5","1.6",".309","0.4","1.4",".288",".382","0.2","0.2",".917","0.1","0.9","1.1","0.4","0.3","0.1","0.3","0.9","2.4","0","3.7",".402",".540",".069","1.3","8.9","5.1","5.2","1.2","1.0","10.0","12.8","-0.7","0.2","-0.5","-0.034","-4.5","-2.2","-6.7","-0.8","0","1","0","0","0"
"430","Charlie Villanueva","PF","31","DAL","52","4","11.0","2.0","5.4",".380","0.7","2.8",".248","1.3","2.6",".522",".444","0.4","0.4",".905","0.3","2.1","2.5","0.4","0.3","0.2","0.5","1.2","5.1","1","11.1",".463",".520",".075","3.4","21.1","12.3","6.3","1.2","1.7","8.3","25.1","-0.6","0.7","0.0",".004","-3.2","-2.0","-5.2","-0.5","0","0","0","1","0"
"431","Noah Vonleh","PF","20","POR","63","52","15.9","1.5","3.8",".402","0.1","0.7",".220","1.4","3.2",".440",".421","0.5","0.7",".738","1.3","2.8","4.1","0.4","0.4","0.3","0.7","2.1","3.7","0","8.1",".451",".170",".174","8.7","19.2","13.9","3.8","1.2","1.4","13.6","13.1","-0.1","1.0","0.9",".044","-4.0","-0.1","-4.1","-0.5","0","0","0","1","0"
"432","Nikola Vucevic","C","25","ORL","58","57","31.8","8.0","16.1",".497","0.0","0.2",".222","8.0","16.0",".500",".498","1.7","2.2",".772","2.8","6.2","9.0","2.8","0.8","1.1","1.9","2.7","17.8","0","20.3",".520",".010",".136","9.5","21.9","15.6","16.4","1.3","2.9","10.2","26.5","2.2","2.3","4.4",".115","0.4","1.4","1.8","1.8","0","0","0","1","1"
"433","Sasha Vujacic","SG","31","NYK","47","11","12.9","1.3","3.9",".335","0.6","2.1",".309","0.7","1.9",".364",".416","0.6","0.7",".788","0.4","1.5","1.9","1.2","0.5","0.0","0.6","1.3","3.8","1","8.8",".451",".524",".178","3.1","12.9","8.1","13.8","2.0","0.2","12.7","17.1","-0.2","0.5","0.3",".023","-1.8","-1.1","-2.9","-0.1","0","1","0","0","0"
"434","Dwyane Wade","SG","34","MIA","60","59","30.7","7.2","16.1",".448","0.1","0.6",".194","7.1","15.5",".458",".451","4.5","5.8",".784","1.2","3.0","4.2","4.8","1.1","0.5","2.8","1.6","19.1","1","20.3",".511",".037",".359","4.5","10.5","7.6","28.8","1.8","1.4","13.0","32.0","1.7","2.2","3.9",".103","1.0","0.0","1.0","1.4","1","1","0","0","0"
"435","Dion Waiters","SG","24","OKC","63","12","28.3","3.6","9.0",".396","1.1","3.0",".354","2.5","5.9",".417",".456","1.4","1.9",".725","0.4","2.3","2.7","1.9","1.0","0.2","1.5","1.9","9.6","1","8.8",".487",".339",".212","1.7","8.4","5.2","9.5","1.7","0.4","13.1","17.1","0.2","1.3","1.5",".041","-1.8","-0.8","-2.6","-0.3","0","1","1","0","0"
"436","Kemba Walker","PG","25","CHO","64","64","36.0","7.3","16.7",".436","2.2","5.6",".382","5.1","11.0",".464",".501","4.7","5.5",".845","0.8","3.7","4.4","5.3","1.7","0.5","2.2","1.4","21.4","0","21.7",".560",".338",".332","2.3","11.4","6.7","26.3","2.3","1.1","10.1","26.6","5.6","2.8","8.4",".175","4.3","0.1","4.4","3.7","1","0","0","0","0"
